generation,selfStdDev,selfVx,selfVy,headOnOffset,headOnStdDev,headOnVx,headOnVy,fitness,accident
8,7.357791132174729,209.19745849745723,-62.47472231518573,379.08563086030296,0.8745989764626061,260.7298233495179,-40.75759031400764,1.00714344E-4,0
9,7.357791132174729,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.00714315E-4,0
9,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065915E-4,0
9,7.357791132174729,209.19745849745723,-62.47472231518573,379.08563086030296,14.252211135053836,260.7298233495179,-40.75759031400764,1.00708916E-4,0
9,7.357791132174729,209.19745849745723,-62.445073605290204,483.7853322857777,0.8745989764626061,260.7298233495179,-40.83828545741261,1.00666024E-4,0
9,7.357791132174729,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.00714315E-4,0
10,7.357791132174729,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.75759031400764,1.0071429E-4,0
10,7.357791132174729,209.19745849745723,-62.47472231518573,379.08563086030296,14.252211135053836,260.7298233495179,-40.81376031107499,1.0070894E-4,0
10,7.357791132174729,209.19745849745723,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065916E-4,0
10,7.357791132174729,209.19745849745723,-62.47472231518573,379.08563086030296,14.276215913259401,260.7298233495179,-40.75759031400764,1.0070891E-4,0
10,7.357791132174729,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.83828545741261,1.0071432E-4,0
11,7.357791132174729,209.25321486419244,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0064788E-4,0
11,7.357791132174729,209.19745849745723,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065916E-4,0
11,7.357791132174729,209.19745849745723,-62.47472231518573,379.08563086030296,14.276215913259401,260.49213289283125,-40.75759031400764,1.0076192E-4,0
11,7.357791132174729,209.19745849745723,-62.47472231518573,379.08563086030296,14.276215913259401,260.78362811832295,-40.75759031400764,1.006969E-4,0
11,7.357791132174729,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.00714315E-4,0
12,7.427800927044788,209.19745849745723,-62.47472231518573,379.08563086030296,14.276215913259401,260.49213289283125,-40.75759031400764,1.0076192E-4,0
12,7.357791132174729,209.38372035943576,-62.47472231518573,379.08563086030296,14.276215913259401,260.49213289283125,-40.75759031400764,1.00724144E-4,0
12,7.357791132174729,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.00714315E-4,0
12,7.357791132174729,209.25321486419244,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0064788E-4,0
12,7.357791132174729,209.19745849745723,-62.47472231518573,379.08563086030296,14.276215913259401,260.49213289283125,-40.75759031400764,1.0076192E-4,0
13,7.357791132174729,209.25321486419244,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0064788E-4,0
13,7.357791132174729,209.25321486419244,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0064788E-4,0
13,7.427800927044788,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.0071432E-4,0
13,7.36860408307449,209.19745849745723,-62.47472231518573,379.08563086030296,14.276215913259401,260.49213289283125,-40.75759031400764,1.0076192E-4,0
13,7.357791132174729,209.38372035943576,-62.47472231518573,379.08563086030296,14.276215913259401,260.49213289283125,-40.75759031400764,1.00724144E-4,0
14,7.357791132174729,209.25321486419244,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0064788E-4,0
14,7.427800927044788,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.0071432E-4,0
14,7.427800927044788,209.19745849745723,-62.445073605290204,379.22267041318526,0.8745989764626061,260.7298233495179,-40.8468578630092,1.0071434E-4,0
14,7.357791132174729,209.25321486419244,-62.465355562088924,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0064788E-4,0
14,7.357791132174729,209.25321486419244,-62.465355562088924,483.7853322857777,14.276215913259401,260.49213289283125,-40.75759031400764,1.00700796E-4,0
